value,time,bytes,gctime,gcstats  
holds,33.205302409,64563049595,1.473495697,"Base.GC_Diff(64563049595, 148500, 0, 9028736, 267405, 147916, 1473495697, 102, 0)"
unknown,130.116238244,332023578371,6.147310381,"Base.GC_Diff(332023578371, 408193, 0, 23505989, 686664, 408993, 6147310381, 507, 0)"
holds,0.730876277,1594892970,0.0201807,"Base.GC_Diff(1594892970, 5666, 0, 315012, 7533, 4388, 20180700, 2, 0)"
holds,3.423276848,7187634757,0.11947079,"Base.GC_Diff(7187634757, 18959, 0, 1234838, 38020, 19907, 119470790, 11, 0)"
holds,32.362170006,68905558911,1.252777133,"Base.GC_Diff(68905558911, 146949, 0, 8994433, 268768, 147331, 1252777133, 102, 0)"
unknown,207.219875216,558330435673,9.065221905,"Base.GC_Diff(558330435673, 467621, 0, 24218707, 684940, 467555, 9065221905, 784, 0)"
unknown,183.398129769,462295143384,11.267099399,"Base.GC_Diff(462295143384, 448834, 0, 24003462, 688615, 450616, 11267099399, 1052, 2)"
unknown,174.445394339,442716947043,8.748419726,"Base.GC_Diff(442716947043, 448834, 0, 23952963, 688082, 448534, 8748419726, 927, 0)"
holds,46.332809796,97450240804,1.843542294,"Base.GC_Diff(97450240804, 205634, 0, 12530722, 372484, 205072, 1843542294, 187, 0)"
holds,56.942527108,119408711866,2.480699882,"Base.GC_Diff(119408711866, 241817, 0, 14690371, 434225, 241787, 2480699882, 222, 0)"
holds,0.084190564,105780267,0.0,"Base.GC_Diff(105780267, 1633, 0, 44696, 2476, 0, 0, 0, 0)"
holds,4.084553501,8276945669,0.12528241,"Base.GC_Diff(8276945669, 22817, 0, 1404456, 41952, 24087, 125282410, 15, 0)"
holds,1.81943305,3663967075,0.04943139,"Base.GC_Diff(3663967075, 9451, 0, 649368, 21526, 9439, 49431390, 7, 0)"
holds,0.005227993,3376261,0.0,"Base.GC_Diff(3376261, 15, 0, 8520, 407, 0, 0, 0, 0)"
unknown,152.824218024,436059794223,6.134758137,"Base.GC_Diff(436059794223, 450165, 0, 23915038, 686669, 450906, 6134758137, 762, 0)"
holds,74.332250715,169090501556,2.678915103,"Base.GC_Diff(169090501556, 319526, 0, 19259923, 569287, 318746, 2678915103, 277, 0)"
holds,2.669427903,5558122819,0.066583702,"Base.GC_Diff(5558122819, 16489, 0, 969973, 29383, 16062, 66583702, 9, 0)"
holds,5.172667781,9314212866,0.146235669,"Base.GC_Diff(9314212866, 25614, 0, 1572406, 46893, 26392, 146235669, 15, 0)"
holds,17.602229259,32945156955,0.656616501,"Base.GC_Diff(32945156955, 83046, 0, 4969076, 147794, 81844, 656616501, 52, 0)"
unknown,177.509242151,494891676400,7.173668886,"Base.GC_Diff(494891676400, 452037, 0, 23973078, 682181, 453562, 7173668886, 756, 0)"
holds,0.076367276,65817221,0.0,"Base.GC_Diff(65817221, 1342, 0, 36173, 2259, 0, 0, 0, 0)"
holds,0.389926932,706929323,0.01157245,"Base.GC_Diff(706929323, 4372, 0, 160635, 4182, 4608, 11572450, 1, 0)"
holds,0.705840877,1363932612,0.015168784,"Base.GC_Diff(1363932612, 4977, 0, 269540, 7653, 5062, 15168784, 2, 0)"
unknown,301.939470734,815317816763,13.082315888,"Base.GC_Diff(815317816763, 496952, 0, 20621444, 692566, 499635, 13082315888, 1139, 2)"
unknown,135.377594992,315487139827,5.861219138,"Base.GC_Diff(315487139827, 430401, 0, 19682643, 692546, 430322, 5861219138, 721, 0)"
unknown,406.536441693,1202475240431,21.424914871,"Base.GC_Diff(1202475240431, 579090, 0, 24181228, 658833, 576954, 21424914871, 2217, 0)"
unknown,263.28965975,684439652886,10.104201882,"Base.GC_Diff(684439652886, 506839, 0, 21359038, 676728, 505978, 10104201882, 1060, 0)"
unknown,351.201568299,1000971443923,12.968702127,"Base.GC_Diff(1000971443923, 520244, 0, 20878604, 691003, 518884, 12968702127, 1346, 0)"
holds,30.900931163,53374195298,0.937757073,"Base.GC_Diff(53374195298, 149726, 0, 7228699, 262184, 148814, 937757073, 67, 0)"
